Kód obce;Obec;Voliči v seznamu;Odevzdané obálky;Platné hlasy;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Komunistická str.Čech a Moravy;Občanská demokratická aliance;Občanská demokratická strana;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;STAROSTOVÉ A NEZÁVISLÍ;Strana svobodných občanů;Strana zelených;Česká pirátská strana;Česká str.sociálně demokrat.;Řád národa - Vlastenecká unie
584304;Bavory;334;236;236;0;0;22;0;42;6;0;10;4;6;20;10;0
584321;Boleradice;737;487;483;1;1;31;1;47;7;2;28;7;4;30;25;3
584339;Borkovany;653;397;396;2;0;34;1;19;5;0;16;11;8;31;26;1
584347;Bořetice;1069;725;716;3;0;64;2;93;4;0;28;9;12;85;54;0
584355;Brod nad Dyjí;444;233;231;0;0;28;1;12;3;0;11;2;0;19;8;0
584363;Brumovice;780;451;444;0;0;37;0;60;0;0;21;2;5;39;44;0
584291;Břeclav;20468;11568;11502;5;13;1102;15;1230;84;5;396;206;124;972;986;16
584371;Březí;1356;828;820;0;1;97;1;100;12;0;49;15;4;65;45;0
584380;Bulhary;648;352;352;0;0;63;0;20;5;0;17;7;2;22;32;1
584401;Diváky;403;277;277;1;0;39;0;19;6;0;2;3;3;14;35;0
584410;Dobré Pole;349;205;203;0;1;34;0;12;7;0;4;1;2;16;13;0
584428;Dolní Dunajovice;1461;877;874;1;0;84;0;127;11;0;28;6;10;79;51;0
584436;Dolní Věstonice;269;161;159;0;1;12;0;12;2;0;8;2;1;18;7;0
584444;Drnholec;1434;723;721;1;0;71;0;87;13;0;30;17;12;46;43;0
584452;Hlohovec;1051;575;573;0;0;34;0;91;2;1;19;6;8;46;47;1
584461;Horní Bojanovice;545;381;381;0;0;54;6;49;6;0;12;6;2;29;29;0
584479;Horní Věstonice;388;235;235;1;1;23;0;31;1;0;7;3;5;19;27;0
584487;Hrušky;1274;775;770;2;1;103;0;44;7;0;32;13;6;46;52;3
584495;Hustopeče;4808;3057;3030;2;1;204;4;425;16;2;66;51;45;340;182;2
584525;Jevišovka;496;206;205;0;0;25;0;11;6;0;9;1;1;11;30;1
550256;Kašnice;183;112;111;0;0;8;0;12;0;0;8;0;3;6;4;0
584541;Klentnice;462;274;270;0;0;27;0;20;4;0;9;1;3;24;34;2
584550;Klobouky u Brna;1939;1184;1176;3;0;100;0;132;7;0;44;14;19;106;95;2
584568;Kobylí;1703;1058;1044;1;0;61;1;113;5;0;35;15;13;114;77;0
584576;Kostice;1561;935;924;0;0;155;1;75;6;1;22;14;4;60;61;4
584584;Krumvíř;984;584;581;0;0;52;0;66;2;1;28;10;11;45;35;0
584592;Křepice;1061;666;661;1;0;55;1;43;13;0;21;21;4;42;43;0
555282;Kurdějov;344;226;226;0;0;25;0;40;2;0;2;1;3;20;18;0
558443;Ladná;1016;626;624;1;0;55;4;44;0;1;24;25;4;54;32;0
584622;Lanžhot;3068;1703;1666;0;3;123;1;137;22;0;54;28;9;113;161;2
584631;Lednice;2002;1293;1285;0;0;104;5;159;6;0;83;13;13;139;100;2
584649;Mikulov;6220;3541;3517;2;4;375;3;617;35;1;93;44;46;337;243;0
584657;Milovice;370;184;184;0;0;17;1;24;1;0;13;0;0;10;13;0
584665;Moravská Nová Ves;2125;1294;1289;2;2;115;3;109;12;0;69;27;16;89;108;1
584673;Moravský Žižkov;1189;737;730;0;0;54;1;77;3;0;109;22;7;51;22;1
584681;Morkůvky;385;258;256;0;0;20;0;19;1;0;59;4;0;31;23;0
584703;Němčičky;557;376;373;0;0;32;0;85;1;1;18;6;1;23;24;0
584711;Nikolčice;611;405;405;1;0;43;0;25;6;0;23;10;3;21;39;0
584746;Novosedly;940;510;506;1;1;52;3;49;4;0;10;9;4;31;50;1
584754;Nový Přerov;260;123;121;0;0;15;0;13;3;0;4;0;3;4;5;0
584771;Pavlov;540;363;362;0;1;42;5;56;2;1;9;8;1;35;27;2
584789;Perná;664;426;416;0;0;38;0;88;5;0;10;5;9;36;23;0
584797;Podivín;2397;1422;1412;0;2;118;1;162;6;0;57;27;17;128;104;2
584819;Popice;749;473;473;0;0;46;1;39;7;1;14;13;5;32;24;0
584835;Pouzdřany;639;343;341;0;0;26;2;25;5;2;7;7;4;32;29;2
584851;Přítluky;666;346;343;0;0;45;0;21;4;0;10;7;4;31;30;1
584860;Rakvice;1740;1019;1008;1;0;86;3;164;12;1;50;12;7;96;64;4
584878;Sedlec;721;384;374;0;1;57;1;26;0;0;11;10;4;31;33;0
584894;Starovice;727;477;475;0;0;29;0;43;4;0;18;4;3;26;18;1
584908;Starovičky;686;411;409;1;0;47;2;45;4;1;14;9;5;23;29;0
584916;Strachotín;667;409;405;0;1;49;2;43;7;0;13;1;3;20;34;0
584924;Šakvice;1186;690;680;0;2;70;1;48;6;1;20;2;4;53;33;4
584932;Šitbořice;1648;1132;1117;1;0;68;0;81;8;1;47;21;14;61;98;2
584941;Tvrdonice;1714;1059;1053;0;3;210;2;83;10;0;36;12;11;72;70;4
584959;Týnec;873;505;505;0;0;105;0;34;4;0;17;10;2;36;29;0
584967;Uherčice;843;545;543;0;1;38;0;32;4;1;12;16;8;19;27;2
584975;Valtice;3074;1825;1806;3;0;150;6;248;10;1;68;29;21;148;228;0
584983;Velké Bílovice;3160;2043;2004;3;0;99;0;338;15;1;237;35;23;171;94;2
584991;Velké Hostěrádky;388;218;216;0;0;18;1;12;2;0;10;2;5;14;24;0
585009;Velké Němčice;1429;972;969;1;2;53;0;89;5;1;32;17;9;99;54;0
585017;Velké Pavlovice;2572;1733;1723;0;1;157;0;262;19;1;73;26;15;196;144;6
585041;Vrbice;893;551;547;0;0;31;1;62;7;1;54;16;3;31;35;3
585050;Zaječí;1173;622;620;1;0;84;1;83;7;1;31;18;13;36;39;0
