Kód obce;Obec;Voliči v seznamu;Odevzdané obálky;Platné hlasy;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Komunistická str.Čech a Moravy;Občanská demokratická aliance;Občanská demokratická strana;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;STAROSTOVÉ A NEZÁVISLÍ;Strana svobodných občanů;Strana zelených;Česká pirátská strana;Česká str.sociálně demokrat.;Řád národa - Vlastenecká unie
523917;Bělá pod Pradědem;1546;945;938;0;0;70;1;77;12;2;53;10;8;79;47;1
524891;Bernartice;703;344;343;0;0;38;0;24;1;1;6;1;1;15;25;0
525227;Bílá Voda;242;140;138;0;0;14;0;17;2;1;5;0;6;13;7;1
533491;Černá Voda;495;269;269;0;0;30;0;14;1;1;16;4;2;27;14;0
569356;Česká Ves;1964;1139;1126;0;0;92;0;62;8;4;139;10;9;64;70;0
553301;Hradec-Nová Ves;312;162;161;0;0;14;0;15;1;0;13;2;3;12;12;0
536148;Javorník;2269;1229;1212;0;1;137;0;99;11;0;23;12;14;100;111;3
536385;Jeseník;9650;5568;5528;11;6;456;8;446;32;2;371;49;46;457;392;4
557218;Kobylá nad Vidnavkou;341;169;167;0;2;25;0;6;2;0;9;0;2;6;5;0
540030;Lipová-lázně;1903;1106;1086;3;0;109;0;102;4;0;40;20;15;101;70;1
540382;Mikulovice;2110;1141;1117;2;0;160;0;54;6;2;99;10;7;55;78;2
569330;Ostružná;198;151;146;0;0;13;0;32;0;0;17;2;0;20;6;0
540684;Písečná;818;457;457;0;1;54;0;33;3;1;33;3;1;21;35;1
553484;Skorošice;626;357;349;0;0;54;0;16;1;0;19;3;1;17;29;0
541036;Stará Červená Voda;496;241;239;0;0;20;0;7;0;0;19;1;2;15;17;0
541117;Supíkovice;551;300;298;0;1;37;3;6;0;0;18;0;5;15;19;1
541214;Uhelná;406;221;217;0;0;17;0;11;0;0;11;1;2;14;19;0
541249;Vápenná;1047;558;555;3;0;60;0;16;4;0;28;8;3;30;42;2
553468;Velká Kraš;612;300;296;1;0;29;0;8;0;1;25;3;3;13;28;0
569453;Velké Kunětice;461;263;261;0;0;43;1;2;3;0;13;0;0;10;15;0
541303;Vidnava;1051;543;535;0;1;37;1;37;2;2;22;3;6;31;63;0
541346;Vlčice;348;196;196;0;0;21;0;7;1;0;4;2;3;23;16;0
597996;Zlaté Hory;3328;1698;1689;3;0;156;1;116;12;1;89;37;15;123;184;2
541575;Žulová;1032;590;588;1;1;95;0;30;5;1;27;2;8;32;49;0
