Kód obce;Obec;Voliči v seznamu;Odevzdané obálky;Platné hlasy;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Komunistická str.Čech a Moravy;Občanská demokratická aliance;Občanská demokratická strana;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;STAROSTOVÉ A NEZÁVISLÍ;Strana svobodných občanů;Strana zelených;Česká pirátská strana;Česká str.sociálně demokrat.;Řád národa - Vlastenecká unie
541095;Bezděkov;103;73;73;0;0;8;0;3;0;0;3;1;0;4;8;0
559725;Břasy;1817;1106;1103;0;1;116;4;123;8;0;42;16;11;106;76;3
559733;Březina;281;185;184;0;0;9;0;25;0;0;12;1;1;7;7;0
559741;Bujesily;55;39;38;0;0;1;0;5;0;0;3;2;0;4;5;0
559750;Bušovice;488;357;355;1;0;35;4;36;4;1;19;4;5;38;21;4
559768;Cekov;113;75;75;0;0;11;0;24;0;0;3;1;0;8;3;0
540927;Čilá;17;17;17;0;0;0;0;7;0;0;0;0;1;5;0;0
559776;Dobřív;986;615;613;0;0;68;0;48;4;0;33;12;11;61;37;1
530379;Drahoňův Újezd;112;85;85;2;0;15;0;9;1;0;0;13;0;7;6;0
559792;Ejpovice;519;351;349;1;0;26;0;51;2;1;16;6;4;38;25;0
559806;Hlohovice;279;189;189;0;0;17;0;15;0;1;3;2;5;15;19;0
559814;Holoubkov;1172;720;715;1;0;89;1;75;9;0;22;13;7;56;71;2
559822;Hrádek;2256;1205;1197;2;0;174;2;119;13;3;34;13;16;93;91;3
541001;Hradiště;24;21;21;0;0;0;0;6;1;0;1;0;0;2;4;0
559849;Hůrky;202;144;144;0;0;24;1;8;2;0;2;0;4;11;10;0
559857;Cheznovice;583;333;330;1;0;50;1;27;4;0;10;0;3;31;23;2
540803;Chlum;35;27;27;0;0;6;0;6;0;0;3;0;0;3;1;0
541141;Chomle;53;35;35;0;0;5;0;1;0;0;0;0;0;4;1;0
579017;Kakejcov;80;60;60;0;0;12;0;6;1;0;6;2;1;2;7;0
566811;Kamenec;52;28;27;0;0;4;0;3;0;0;2;0;0;1;2;0
541150;Kamenný Újezd;645;413;413;1;0;26;1;55;3;0;23;8;4;45;25;0
559903;Kařez;511;287;286;0;0;35;0;38;1;0;15;8;4;28;20;0
530361;Kařízek;42;40;38;1;0;0;0;3;1;0;3;1;0;5;6;0
559911;Klabava;376;268;267;1;0;10;0;22;2;1;12;0;4;20;15;0
559920;Kladruby;149;85;85;0;0;13;0;3;1;0;5;0;0;6;8;0
579033;Kornatice;149;93;91;0;0;5;1;19;0;0;6;2;0;6;4;0
567001;Lhota pod Radčem;249;164;164;0;0;18;0;23;2;0;7;1;4;11;11;0
559946;Lhotka u Radnic;49;37;37;0;0;3;0;0;1;0;0;0;0;1;2;0
559954;Liblín;198;114;109;0;0;21;0;3;3;0;4;0;3;7;14;0
559962;Líšná;145;97;97;0;0;5;0;10;0;0;3;5;4;10;7;0
553611;Litohlavy;426;276;274;2;0;21;0;32;2;1;8;3;3;36;22;0
579009;Medový Újezd;196;138;138;1;0;14;0;11;0;1;6;2;1;12;9;0
579084;Mešno;75;55;55;0;0;4;0;5;1;0;2;1;0;10;0;0
559997;Mirošov;1865;1061;1046;1;0;101;2;109;8;2;39;13;10;93;80;8
560006;Mlečice;250;164;164;0;0;24;0;16;1;0;7;3;3;11;19;0
560014;Mýto;1208;733;732;0;1;73;2;104;9;0;57;11;10;62;56;1
566837;Němčovice;129;92;92;0;0;3;0;9;0;0;0;0;2;8;2;0
541192;Nevid;141;82;81;0;0;6;0;8;2;0;3;0;1;6;10;0
560057;Osek;999;678;676;1;0;65;2;72;9;1;35;4;13;61;48;3
566993;Ostrovec-Lhotka;95;80;80;0;0;3;0;22;0;0;7;0;1;5;2;0
566861;Plískov;102;81;80;0;0;8;1;21;0;0;6;0;3;6;4;0
560081;Podmokly;214;135;135;0;0;16;0;7;3;0;11;4;1;14;9;1
579131;Příkosice;332;212;212;0;0;20;0;19;3;1;14;3;1;27;18;0
560111;Přívětice;177;130;130;0;0;22;0;13;1;0;7;2;0;17;3;0
560120;Radnice;1459;842;835;1;1;59;2;85;10;0;26;12;10;101;88;3
566942;Raková;193;129;129;0;0;11;0;11;2;1;5;6;1;9;19;0
559717;Rokycany;10876;6227;6174;5;2;544;16;865;52;7;205;93;72;655;434;9
560146;Sebečice;74;54;54;0;0;9;0;6;0;0;3;0;3;1;3;0
546488;Sirá;108;76;76;0;0;16;0;18;1;0;6;0;2;5;3;0
566845;Skomelno;172;127;127;0;1;18;1;10;1;0;9;0;2;9;12;0
506664;Skořice;227;142;141;0;0;25;0;6;3;0;3;3;2;5;3;0
540722;Smědčice;209;159;159;1;0;2;0;30;1;0;12;6;3;22;11;0
560162;Strašice;1921;1069;1058;1;0;129;1;125;10;0;32;15;8;137;100;5
541176;Svojkovice;342;227;227;0;0;14;0;45;1;0;10;7;4;22;18;0
579343;Štítov;50;40;40;0;0;6;0;3;0;0;0;0;0;4;2;1
560189;Těně;238;162;159;0;0;13;0;8;3;0;5;1;0;18;10;0
566802;Terešov;137;79;79;0;0;3;0;8;1;1;6;2;0;10;4;0
546526;Těškov;255;164;161;0;0;27;0;22;1;0;7;2;4;10;13;0
579246;Trokavec;95;64;63;0;0;6;0;10;0;0;1;1;1;10;3;1
546534;Týček;167;129;129;0;0;17;0;4;1;0;16;0;1;3;12;0
546551;Újezd u Svatého Kříže;206;120;120;1;0;14;1;11;3;0;4;1;4;8;4;0
560227;Vejvanov;194;112;112;0;0;14;0;13;2;0;8;4;1;15;12;0
560235;Veselá;211;130;129;0;0;15;1;25;3;0;2;1;0;12;5;1
579289;Vísky;38;21;21;0;0;1;0;1;0;0;0;0;0;1;4;0
560251;Volduchy;915;666;648;2;0;62;1;94;7;3;16;12;7;84;80;4
566799;Všenice;219;179;179;0;0;22;0;13;3;2;11;5;2;18;16;0
560260;Zbiroh;2040;1190;1174;1;0;128;10;123;12;2;78;11;14;103;105;10
541061;Zvíkovec;174;78;76;0;0;9;1;5;3;0;8;1;3;6;0;0
